Model, Video, Status
Model-4,video-3-segment-2,
Model-5,video-12-segment-4,
Model-7,video-13-segment-2,
Model-1,video-3-segment-3,
Model-7,video-4-segment-1,
Model-4,video-4-segment-3,
Model-3,video-4-segment-4,
Model-6,video-14-segment-4,
Model-6,video-1-segment-4,
Model-1,video-14-segment-1,
Model-0,video-4-segment-3,
Model-3,video-16-segment-3,
Model-0,video-2-segment-1,
Model-2,video-16-segment-3,
Model-3,video-13-segment-2,
Model-5,video-4-segment-1,
Model-6,video-1-segment-5,
Model-2,video-15-segment-3,
Model-2,video-6-segment-2,
Model-5,video-3-segment-2,
Model-7,video-6-segment-2,
Model-1,video-7-segment-2,
Model-0,video-1-segment-5,
Model-4,video-2-segment-1,
