Object,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,frame_11
accent paving,0,0,0,0,0,0,0,0,1,0,0,0
barrier post,1,0,1,1,1,1,1,1,1,1,1,1
barrier stump,1,0,1,1,0,0,0,0,1,1,1,1
bench,1,1,1,1,1,1,1,1,1,1,1,1
bicycle,0,0,0,0,0,0,0,0,0,0,0,0
bridge,0,0,1,1,1,1,1,1,1,1,1,1
building,0,1,1,1,1,1,1,1,1,1,1,1
bus,0,0,0,0,0,0,0,0,0,0,0,0
bus stop,0,0,1,0,0,1,1,0,0,0,0,0
car,0,0,0,0,0,0,0,0,0,0,0,0
chair,0,0,1,1,0,0,0,0,0,0,0,0
closed sidewalk,0,0,1,1,1,1,1,1,1,1,1,1
counter,0,0,0,0,0,0,0,0,0,0,0,0
crosswalk,0,0,1,1,1,1,1,1,1,1,1,1
curb,0,0,0,1,1,1,1,1,1,0,1,0
dog,0,0,0,0,0,0,0,0,0,0,0,0
driveway(flat),0,0,0,1,0,0,0,0,0,0,0,0
elevator,1,0,0,0,0,1,0,0,0,0,0,0
escalator,1,0,0,0,0,0,0,0,0,0,0,0
fence,0,0,1,1,1,1,1,1,1,1,1,1
fire hydrant,0,0,0,0,0,0,0,0,0,0,0,0
flush door,1,1,0,0,1,1,0,0,0,0,0,0
foldout sign,0,0,0,0,0,1,1,0,0,0,0,0
fountain,0,0,0,0,0,0,0,0,0,0,0,0
gate,1,1,1,1,1,1,1,1,1,1,0,1
guide dog,0,0,0,0,0,0,0,0,0,0,0,0
gutter,0,0,1,1,0,0,0,0,0,1,1,0
hose,0,0,0,0,0,0,0,0,0,0,0,0
lamp post,1,1,1,1,0,0,1,1,1,1,1,1
mail box,0,0,0,0,0,0,1,0,0,0,0,0
maintenance vehicle,0,0,0,0,0,0,0,0,0,0,0,0
motorcycle,0,0,0,0,0,0,0,0,0,0,0,0
parallel parking spot,0,0,0,0,0,0,0,0,0,0,0,0
paratransit vehicle,0,0,0,0,0,0,0,0,0,0,0,0
pedestrian crossing,0,0,1,1,1,1,1,1,1,1,1,1
person,1,0,1,1,1,1,1,1,1,1,1,1
person with a disability,1,0,1,1,1,1,1,1,1,1,1,1
pillar,1,1,1,1,1,1,1,1,1,1,1,1
pole,1,0,1,1,1,1,1,1,1,1,1,1
puddle,0,0,0,0,0,0,0,0,0,0,0,0
push button,1,0,0,0,0,0,0,0,0,0,0,0
railing,1,0,1,1,1,1,1,1,1,1,1,1
raised entryway,1,0,1,1,1,1,1,1,1,1,1,1
retaining wall,0,0,1,1,1,0,0,1,1,1,1,1
road,0,0,0,1,1,1,0,0,1,1,1,1
road divider,0,0,1,0,1,1,0,1,1,1,1,1
road shoulder,1,0,1,1,1,1,1,1,1,1,1,1
roadside parking,0,0,0,0,0,1,0,0,0,0,0,1
sidewalk,0,0,1,1,1,1,1,1,1,1,1,1
sidewalk pits,0,0,1,1,1,1,1,1,1,1,1,1
sign,0,0,0,0,1,1,1,1,0,0,0,0
sign post,1,0,0,0,0,1,1,0,0,0,0,0
sloped driveway,0,0,1,1,1,1,0,1,0,0,0,0
slopped curb,0,0,1,1,1,1,1,1,1,1,1,1
snow,0,0,0,0,0,0,0,0,0,0,0,0
stairs,1,0,1,1,1,1,0,0,0,0,0,1
stop sign,0,0,0,0,0,1,0,0,0,0,0,0
street vendor,0,0,0,0,0,0,0,0,0,0,0,0
table,0,0,0,0,0,0,0,0,0,0,0,0
tactile paving,0,0,0,1,0,0,0,0,0,0,0,0
traffic signals,0,0,0,0,0,0,0,0,0,0,0,0
train platform,0,0,0,0,0,0,0,0,0,0,0,0
train tracks,0,0,0,0,0,0,0,0,0,0,0,0
trash bins,0,0,0,0,0,0,0,0,0,0,0,0
trash on roads,0,0,0,0,0,0,0,0,0,0,0,0
tree,0,0,0,1,1,1,0,1,0,1,0,1
turnstile,0,0,1,1,1,1,1,1,0,0,1,1
uncontrolled crossing,1,0,1,1,1,1,1,1,1,1,1,1
uneven stairs,1,0,1,1,1,1,1,1,0,0,0,0
unpaved road,0,0,0,0,0,0,0,0,0,0,0,0
unpaved sidewalk,0,0,0,0,0,0,0,0,0,0,0,0
vegetation,0,0,1,1,1,1,1,1,1,1,1,1
wall,0,1,1,1,0,1,1,1,1,1,1,0
water leakage,0,0,0,0,0,0,0,0,0,0,1,0
water pipes,0,0,0,0,0,0,0,0,0,0,0,0
wet surface,0,0,0,0,0,0,0,0,0,0,1,0
wheelchair,0,0,0,1,0,0,0,0,0,0,0,0
white cane,0,0,0,0,0,1,0,0,0,0,0,0
yard waste,0,0,0,0,0,0,0,0,0,0,0,0
